StateFIPS,State,Sex,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over
5,AR,F,5.8%,6.0%,6.6%,6.5%,6.2%,6.1%,6.5%,6.6%,6.0%,5.8%,5.9%,6.4%,6.6%,5.8%,5.2%,3.6%,2.2%,2.2%
6,CA,T,5.6%,6.0%,6.7%,6.6%,6.5%,7.2%,7.7%,7.1%,6.7%,6.2%,6.4%,6.2%,5.9%,5.0%,4.1%,2.6%,1.7%,1.7%
6,CA,M,5.8%,6.2%,6.9%,6.7%,6.6%,7.4%,7.9%,7.4%,6.8%,6.2%,6.4%,6.2%,5.8%,4.7%,3.9%,2.3%,1.5%,1.3%
6,CA,F,5.5%,5.9%,6.6%,6.4%,6.3%,7.0%,7.4%,6.9%,6.6%,6.2%,6.3%,6.3%,6.0%,5.3%,4.4%,2.9%,2.0%,2.2%
8,CO,T,5.3%,5.8%,6.4%,6.5%,6.4%,7.6%,7.9%,7.7%,7.0%,6.2%,6.1%,5.9%,6.2%,5.3%,4.3%,2.5%,1.6%,1.4%
8,CO,M,5.4%,5.8%,6.6%,6.5%,6.6%,7.8%,8.3%,7.9%,7.1%,6.3%,6.1%,5.6%,6.2%,5.2%,4.0%,2.2%,1.4%,1.1%
8,CO,F,5.2%,5.7%,6.3%,6.4%,6.3%,7.4%,7.6%,7.4%,6.9%,6.0%,6.0%,6.1%,6.3%,5.5%,4.6%,2.7%,1.9%,1.7%
9,CT,T,4.9%,5.5%,5.9%,6.8%,6.6%,6.2%,6.3%,6.4%,6.1%,5.9%,6.9%,7.2%,7.3%,5.9%,4.7%,3.1%,2.0%,2.3%
9,CT,M,5.1%,5.6%,6.3%,7.0%,6.9%,6.5%,6.4%,6.5%,6.1%,5.9%,6.9%,7.0%,7.4%,5.8%,4.3%,2.8%,1.7%,1.7%
9,CT,F,4.8%,5.4%,5.5%,6.6%,6.4%,6.0%,6.1%,6.2%,6.1%,5.9%,6.9%,7.3%,7.2%,6.0%,5.0%,3.4%,2.4%,2.9%
10,DE,T,5.3%,5.8%,6.0%,6.3%,5.7%,6.1%,6.7%,6.0%,6.2%,5.4%,6.1%,6.7%,7.6%,7.1%,5.4%,3.5%,2.2%,1.9%
10,DE,M,5.6%,6.2%,6.0%,6.2%,6.1%,6.4%,6.7%,6.3%,6.2%,5.4%,6.1%,6.6%,7.4%,6.6%,5.4%,3.3%,2.0%,1.5%
10,DE,F,5.0%,5.4%,5.9%,6.4%,5.4%,5.9%,6.7%,5.7%,6.2%,5.3%,6.1%,6.8%,7.8%,7.6%,5.4%,3.7%,2.4%,2.3%
11,DC,T,6.1%,5.3%,5.0%,5.3%,6.8%,10.5%,11.3%,9.2%,7.3%,5.3%,5.2%,4.9%,5.0%,4.0%,3.5%,2.5%,1.2%,1.5%
11,DC,M,6.5%,5.1%,5.9%,5.3%,6.4%,9.9%,11.5%,9.3%,7.7%,5.7%,5.5%,4.8%,5.3%,3.8%,3.1%,2.2%,1.0%,1.1%
11,DC,F,5.7%,5.6%,4.3%,5.3%,7.1%,11.0%,11.2%,9.1%,7.0%,5.0%,4.9%,4.9%,4.8%,4.2%,3.9%,2.8%,1.4%,2.0%
